
2024/11/28 (08:01:59) | DEBUG: Loading theme file: /home/steve/.config/btop/themes/catppuccin_mocha.theme
2024/11/28 (08:02:56) | INFO: Quitting! Runtime: 00:00:57

2024/11/28 (15:08:37) | ===> btop++ v.1.4.0
2024/11/28 (15:08:37) | INFO: Logger set to DEBUG
2024/11/28 (15:08:37) | DEBUG: Using locale en_US.UTF-8
2024/11/28 (15:08:37) | INFO: Running on /dev/pts/1
2024/11/28 (15:08:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/28 (15:08:37) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/11/28 (15:08:37) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/11/28 (15:08:37) | WARNING: Intel GPU: Failed to initialize PMU
2024/11/28 (15:08:37) | DEBUG: Shared::init() : Initialized.
2024/11/28 (15:08:37) | DEBUG: Loading theme file: /home/steve/.config/btop/themes/catppuccin_mocha.theme
2024/11/28 (15:08:48) | INFO: Quitting! Runtime: 00:00:11

2024/11/29 (06:56:57) | ===> btop++ v.1.4.0
2024/11/29 (06:56:57) | INFO: Logger set to DEBUG
2024/11/29 (06:56:57) | DEBUG: Using locale en_US.UTF-8
2024/11/29 (06:56:57) | INFO: Running on /dev/pts/2
2024/11/29 (06:56:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/29 (06:56:57) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/11/29 (06:56:57) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/11/29 (06:56:57) | WARNING: Intel GPU: Failed to initialize PMU
2024/11/29 (06:56:57) | DEBUG: Shared::init() : Initialized.
2024/11/29 (06:56:57) | DEBUG: Loading theme file: /home/steve/.config/btop/themes/catppuccin_mocha.theme
2024/11/29 (06:57:02) | INFO: Quitting! Runtime: 00:00:05

2024/11/29 (09:41:03) | ===> btop++ v.1.4.0
2024/11/29 (09:41:03) | INFO: Logger set to DEBUG
2024/11/29 (09:41:03) | DEBUG: Using locale en_US.UTF-8
2024/11/29 (09:41:03) | INFO: Running on /dev/pts/0
2024/11/29 (09:41:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/29 (09:41:03) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/11/29 (09:41:03) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/11/29 (09:41:03) | WARNING: Intel GPU: Failed to initialize PMU
2024/11/29 (09:41:03) | DEBUG: Shared::init() : Initialized.
2024/11/29 (09:41:03) | DEBUG: Loading theme file: /home/steve/.config/btop/themes/catppuccin_mocha.theme
2024/11/29 (09:41:46) | INFO: Quitting! Runtime: 00:00:43

2024/12/01 (07:08:35) | ===> btop++ v.1.4.0
2024/12/01 (07:08:35) | INFO: Logger set to DEBUG
2024/12/01 (07:08:35) | DEBUG: Using locale en_US.UTF-8
2024/12/01 (07:08:35) | INFO: Running on /dev/pts/3
2024/12/01 (07:08:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/01 (07:08:35) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/12/01 (07:08:35) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/12/01 (07:08:35) | WARNING: Intel GPU: Failed to initialize PMU
2024/12/01 (07:08:35) | DEBUG: Shared::init() : Initialized.
2024/12/01 (07:08:35) | DEBUG: Loading theme file: /home/steve/.config/btop/themes/catppuccin_mocha.theme
